brief_name,eng_name,name
-1,"K.E.N.T S T P CO.,LTD",CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ K.E.N.T
SOFA ĐẠI PHÁT,DAI PHAT SOFA COMPANY LIMITED,CÔNG TY TNHH SOFA ĐẠI PHÁT
"GIA HƯNG HR SOLUTION CO.,LTD","GIA HƯNG HR SOLUTION CO.,LTD",CÔNG TY TNHH GIẢI PHÁP NHÂN LỰC GIA HƯNG
-1,THANH DAT WASTE WATER TREATMENT OPERATION MANAGEMENT COMPANY LIMITED,CÔNG TY TNHH QUẢN LÝ VẬN HÀNH XỬ LÝ NƯỚC THẢI THÀNH ĐẠT
-1,"THANH TIN IMP.& EXP.TRADE CO.,LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU THÀNH TÍN
-1,-1,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI MỸ PHẨM LUCASTA
-1,-1,CÔNG TY TNHH MỘT THÀNH VIÊN NHẬT HỒNG PHÁP
CTCP ĐIỆN TỬ - VIỄN THÔNG SAO VIỆT,CTCP ĐIỆN TỬ - VIỄN THÔNG SAO VIỆT,CÔNG TY CỔ PHẦN ĐIỆN TỬ - VIỄN THÔNG SAO VIỆT
-1,-1,CÔNG TY TNHH TM & DV YOUR HOME
"HUONG DUONG .,JSC","HUONG DUONG .,JSC",CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI HƯỚNG DƯƠNG
-1,"HKTECH CO., LTD",CÔNG TY TNHH KỸ THUẬT CÔNG NGHỆ HỢP KHANG
CTY CP NĂNG LƯỢNG SẠCH BẮC SƠN,CTY CP NăNG LượNG SạCH BắC SơN,CÔNG TY CỔ PHẦN NĂNG LƯỢNG SẠCH BẮC SƠN
-1,-1,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI BAO BÌ PHẠM NGUYỄN
CTY TNHH MTV KHANG AN KHÊ,CTY TNHH MTV KHANG AN KHE,CÔNG TY TNHH MỘT THÀNH VIÊN KHANG AN KHÊ
THUAN PHAT INDUSTRY SERVICE AND TRADING CONSTRUCTION JOINT S,THUAN PHAT INDUSTRY SERVICE AND TRADING CONSTRUCTION JOINT S,CÔNG TY CỔ PHẦN XÂY DỰNG THƯƠNG MẠI VÀ DỊCH VỤ CÔNG NGHIỆP THUẬN PHÁT
"DU BI CO.,LTD","DU BI CO.,LTD",CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI DŨNG CÔNG BÌNH
"DONG HWA CO., LTD","DONG HWA CO., LTD",CÔNG TY TNHH DONG HWA
-1,-1,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN LŨNG LÔ 5 - VĂN PHÒNG ĐẠI DIỆN TẠI THÀNH PHỐ HỒ CHÍ MINH
-1,-1,CÔNG TY TNHH XUÂN CƯƠNG
-1,-1,CÔNG TY TNHH THƯƠNG MẠI HỮU HÙNG
TOP INTERNATIONAL TRAVEL COMPANY LIMITED,TOP INTERNATIONAL TRAVEL COMPANY LIMITED,CÔNG TY TNHH LỮ HÀNH QUỐC TẾ ĐỈNH CAO
"GREEN APPAREL VINA CO.,LTD","GREEN APPAREL VINA CO.,LTD",CÔNG TY TNHH GREEN APPAREL VIỆT NAM
-1,-1,CÔNG TY TNHH LÂM SẢN MINH KHANG
"HANSHIN CO.,LTD","HANSHIN CO.,LTD",CÔNG TY TNHH HANSHIN
-1,-1,Công Ty Cổ Phần Xây Lắp Cơ Điện Phúc An
-1,-1,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN HUY HOÀNG PHÚ QUỐC
-1,-1,CÔNG TY TNHH TƯ VẤN XÂY DỰNG B.K
"CLSS CO.,LTD",Central Labour Safety Services Supplying Limited Company,Công Ty TNHH Cung Ứng Dịch Vụ An Toàn Lao Động Miền Trung
"NOBLE KING CO.,LTD",NOBLE KING COMPANY LIMITED,CÔNG TY TNHH NOBLE KING
-1,-1,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NGỌC SAN SAN
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MINH THÀNH CÔNG,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MINH THÀNH CÔNG,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MINH THÀNH CÔNG
-1,-1,CÔNG TY TNHH DỊCH VỤ TƯ VẤN VÀ ĐẦU TƯ SAO VIỆT
-1,-1,CÔNG TY TNHH XÂY DỰNG- THƯƠNG MẠI PHƯƠNG ANH ANH
-1,BAN MAI PRODUCTION ELECTRICAL EQUIPMENT COMPANY LIMITED,CÔNG TY TNHH SẢN XUẤT THIẾT BỊ ĐIỆN BAN MAI
-1,-1,CÔNG TY TNHH VẬT TƯ VÀ XÂY DỰNG HOÀNG THÀNH
-1,"PHAN VINH CO., LTD",CÔNG TY TNHH CƠ KHÍ CHÍNH XÁC PHAN VINH
"VIET HUNG CONTRASER CO.,LTD","VIET HUNG CONTRASER CO.,LTD",CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI VÀ DỊCH VỤ VIỆT HƯNG
LAM SOFTWARE,LAM SOFTWARE,CÔNG TY TNHH PHẦN MỀM LÊ ANH MINH
-1,-1,CÔNG TY CỔ PHẦN XÂY DỰNG TÂN TRƯỜNG PHÁT
CONSTRUCTION INVESTMENT - DEVELOPMENT INFRASTRUCTURE URBAN AND INDUSTRIAL ZONE JOINT STOCK COMPANY,CONSTRUCTION INVESTMENT - DEVELOPMENT INFRASTRUCTURE URBAN AND INDUSTRIAL ZONE JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG - PHÁT TRIỂN HẠ TẦNG ĐÔ THỊ VÀ KHU CÔNG NGHIỆP
-1,-1,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ NGUYỄN ĐỨC
HOA CUONG GARMENT ONE MEMBER COMPANY LIMITED,HOA CUONG GARMENT ONE MEMBER COMPANY LIMITED,CÔNG TY TNHH MTV MAY MẶC HÒA CƯƠNG
-1,-1,CÔNG TY TNHH TÂN TOÀN THẮNG
-1,-1,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ XÂY DỰNG NHẬT MINH
-1,-1,CÔNG TY TNHH MTV CƠ KHÍ VÀ XÂY DỰNG THÀNH AN
THAI DUONG IMEXCONCO,THAI DUONG IMPORT EXPORT CONSTRUCTION JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU XÂY DỰNG THÁI DƯƠNG
PDA CORPORATION,PDA CORPORATION,CÔNG TY CỔ PHẦN PDA
CTY TNHH MTV QTB,CÔNG TY TNHH MỘT THÀNH VIÊN QTB,CÔNG TY TNHH MỘT THÀNH VIÊN QTB
-1,LITHAPHACO,CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ LIÊN THÀNH PHÁT
-1,-1,CÔNG TY TNHH THƯƠNG MẠI & XÂY DỰNG PHƯƠNG LINH
VMISS ENTERTAINMENT COMPANY LIMITED,VMISS ENTERTAINMENT COMPANY LIMITED,CÔNG TY TNHH VMISS ENTERTAINMENT
-1,USC TRADING- TRAVEL COMPANY LIMITED,CÔNG TY TNHH THƯƠNG MẠI - DU LỊCH USC
RUBIK,RUBIK,CÔNG TY CỔ PHẦN ĐẦU TƯ RUBIK
-1,-1,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ THƯƠNG MẠI HÀ LỘC VƯƠNG
"ECTECH .,JSC",ECTECH VIET NAM TRADING AND SERVICE JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ ECTECH VIỆT NAM
"VANIMEXCO., LTD",VAN ANH IMPORT EXPORT INVESTMENT COMPANY LIMITED -HO CHI MINH CITY BRANCH,CÔNG TY TNHH ĐẦU TƯ XUẤT NHẬP KHẨU VÂN ANH-CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
-1,-1,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ BẮC PHONG
ICCOR JOINT STOCK COMPANY - NAM DINH BRANCH,ICCOR JOINT STOCK COMPANY - NAM DINH BRANCH,CÔNG TY CỔ PHẦN ICCOR - CHI NHÁNH NAM ĐỊNH
PAPAYA JOINT STOCK COMPANY,Papaya Joint Stock Company,Công Ty Cổ Phần Papaya
"R3VN CO., LTD","R3VN CO., LTD",CÔNG TY TNHH R3 VIỆT NAM
"VIET NAM - LIEN BANG NGA ., JSC",VIET NAM - LIEN BANG NGA IMPORT EXPORT JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU VIỆT NAM - LIÊN BANG NGA
-1,-1,CÔNG TY TNHH NHẬP KHẨU CÔNG NGHỆ CAO
"AQUA CITY HOA BINH CO., LTD",Aqua City Hoa Binh Company Limited,Công Ty TNHH Aqua City Hòa Bình
"STARSHINE MARKETING CO.,LTD","STARSHINE MARKETING CO.,LTD",CÔNG TY TNHH THƯƠNG MẠI MỸ PHẨM HOÀNG KIM
XINH DOCOR,XINH DOCOR,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NỘI THẤT XINH
CÔNG TY TP LÊ NGUYỄN,CÔNG TY TP LÊ NGUYỄN,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ THỰC PHẨM LÊ NGUYỄN
MANH HIEU TRADING INVESTMENT COMPANY LIMITED,MANH HIEU TRADING INVESTMENT COMPANY LIMITED,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI MẠNH HIẾU
-1,-1,CÔNG TY TRÁCH NHIỆM HỮU HẠN GIẢI PHÁP TRẦN NGUYỄN
-1,-1,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CÔNG NGHỆ LÝ GIA - CHI NHÁNH CAI LẬY
TUAN LAM IMPORT EXPORT AND TRADING COMPANY LIMITED,Tuan Lam Import Export And Trading Company Limited,Công Ty TNHH Thương Mại Và Xuất Nhập Khẩu Tuấn Lâm
-1,-1,Công Ty TNHH Tv & Đtxd Nam Dũng
"KHANH LE CO., LTD",KHANH LE KOREAN LANGUAGE COMPANY LIMITED,CÔNG TY TNHH HÀN NGỮ KHÁNH LÊ
CTY TNHH MTV NGUYỄN CHÍ TÂM,CTY TNHH MTV NGUYỄN CHÍ TÂM,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN NGUYỄN CHÍ TÂM
-1,-1,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU ÔTÔ THĂNG LONG
-1,HHD TRADING SERVICE EXPORT IMPORT COMPANY LIMITED,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU HHD
"ITS CO., LTD","ITS CO., LTD",CÔNG TY TNHH DỊCH VỤ VÀ GIẢI PHÁP TIN HỌC VIỆT HÙNG
CTY TNHH MTV SX TM DV THÔN VỸ,CTY TNHH MTV SX TM DV THÔN VỸ,CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ THÔN VỸ
-1,-1,CÔNG TY TNHH THIẾT BỊ Y TẾ Y CAO
XDA HA NOI CIVIL AND CONSTRUCTION INDUSTRY COMPANY LIMITED,Xda Ha Noi Civil And Construction Industry Company Limited,Công Ty TNHH Xây Dựng Công Nghiệp Và Dân Dụng Xda Hà Nội
-1,"THU PHU TRADE SERVICE CO.,LTD",CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THU PHÚC
-1,"THANH TAM CO.,LTD",CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI SẢN XUẤT DỊCH VỤ THÀNH TÂM
VINALINES NHA TRANG,VINALINES NHA TRANG,CÔNG TY CỔ PHẦN VINALINES NHA TRANG
-1,-1,CÔNG TY TNHH TM DV THIẾT BỊ PCCC PHÚC THÀNH
"ANH TU THANH DAT CO.,LTD","ANH TU THANH DAT CO.,LTD",CÔNG TY TNHH THƯƠNG MẠI - XUẤT NHẬP KHẨU ANH TÚ THÀNH ĐẠT
-1,AN PHAT COSMETICS CHEMICAL COMPANY LIMITED,CÔNG TY TNHH HÓA MỸ PHẨM AN PHÁT
-1,-1,CÔNG TY TNHH DONGRIWON DEVELOPMENT VIỆT NAM
-1,-1,CÔNG TY TNHH MTV ĐẠI PHÁT STEEL
HUYNH KHUONG DAT SERVICE TRADING JOINT STOCK COMPANY,HUYNH KHUONG DAT SERVICE TRADING JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ HUỲNH KHƯƠNG ĐẠT
-1,-1,CÔNG TY CP XNK VÀ VẬN TẢI PHƯỚC LÀNH
-1,TAN DAI JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN TÂN ĐẠI
-1,STE VIET INVESTMENT AND ENVIRONMENT CONSULTANCY JOINT STOCK COMPANY,Công Ty Cổ Phần Tư Vấn Đầu Tư Và Môi Trường Ste Việt
"LINK HOME REAL ESTATE CO.,LTD",LINK HOME REAL ESTATE COMPANY LIMITED,CÔNG TY TNHH BẤT ĐỘNG SẢN LINK HOME
"NO 68 CCIT ., JSC","NO 68 CCIT ., JSC",CÔNG TY CỔ PHẦN XÂY DỰNG THUỶ LỢI VÀ THƯƠNG MẠI 68
"VINH PHUC DT-CC.,JSC","VINH PHUC DT-CC.,JSC",CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG VÀ PHÁT TRIỂN CÔNG NGHỆ VĨNH PHÚC
BACH VIET TECHNOLOGY AND MEASUREMENT COMPANY LIMITED,BACH VIET TECHNOLOGY AND MEASUREMENT COMPANY LIMITED,CÔNG TY TNHH ĐO LƯỜNG VÀ CÔNG NGHỆ BÁCH VIỆT
-1,-1,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN VẬN TẢI HÙNG DŨNG
-1,-1,CÔNG TY CỔ PHẦN TƯ VẤN GIÁO DỤC VÀ VĂN HOÁ - TRUYỀN THÔNG HÀ THÀNH
TRUNG KIEN PT COMPANY LIMITED,TRUNG KIEN PT COMPANY LIMITED,CÔNG TY TNHH TRUNG KIÊN PT
LAPIS INVESTMENT JOINT STOCK COMPANY,LAPIS INVESTMENT JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN ĐẦU TƯ LAPIS
-1,-1,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI ANH HÒA
CÔNG TY CỔ PHẦN DU LỊCH LÂM VIÊN,CÔNG TY CỔ PHẦN DU LỊCH LÂM VIÊN,CÔNG TY CỔ PHẦN DU LỊCH LÂM VIÊN
"TLS.,JSC","TLS.,JSC",CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN THƯƠNG MẠI VÀ BẤT ĐỘNG SẢN THĂNG LONG SP.ZOO
-1,-1,CÔNG TY TNHH ĐẦU TƯ DỊCH VỤ THƯƠNG MẠI TRỊNH NGUYỄN
-1,-1,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN ĐẠI HẢI THỊNH
"A CHAU FUTRA CO., LTD","A CHAU FUTRA CO., LTD",CÔNG TY TNHH THƯƠNG MẠI NỘI THẤT Á CHÂU
-1,"TOUR THAI DUONG SERVICE TRADING CO., LTD",Công Ty TNHH Thương Mại Dịch Vụ Tour Thái Dương
"TIPHON .,JSC","TIPHON .,JSC",CÔNG TY CỔ PHẦN TIẾN PHONG VIỆT NAM
PHU MY THANH,PHU MY THANH,CÔNG TY CỔ PHẦN CHẾ BIẾN LÂM SẢN XUẤT KHẨU PHÚ MỸ THÀNH
-1,"DAI QUANG INTERIOR CO.,LTD",CÔNG TY TRÁCH NHIỆM HỮU HẠN SẢN XUẤT THƯƠNG MẠI NỘI THẤT ĐẠI QUANG
-1,-1,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ SƠN THÀNH
CÔNG TY TNHH MTV XD DV TM ĐỨC KIÊN,CÔNG TY TNHH MTV XD DV TM ĐỨC KIÊN,CÔNG TY TNHH MỘT THÀNH VIÊN XÂY DỰNG DỊCH VỤ THƯƠNG MẠI ĐỨC KIÊN
-1,CTY TNHH TM DV VT XD HOàNG ANH PHáT,Công Ty TNHH Thương Mại Dịch Vụ Vận Tải Xây Dựng Hoàng Anh Phát
PG HANOI,PG HANOI,CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY DỰNG PG HÀ NỘI
SAKUDA INTERNATIONAL JOINT STOCK COMPANY,SAKUDA INTERNATIONAL JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN QUỐC TẾ SAKUDA
"TUAN TUNG CO ., LTD","TUAN TUNG CO ., LTD",CÔNG TY TNHH TUẤN TÙNG
"SPICE ISLAND HOLDINGS CO.,LTD",Spice Island Holdings Company Limited,Công Ty TNHH Spice Island Holdings
CTY TNHH ĐT PT ĐỊA ỐC HÙNG PHÁT,-1,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN ĐỊA ỐC HÙNG PHÁT
"CBW TECHNICAL SERVICE & EQUIPMENTS CO., LTD",CBW TECHNICAL SERVICE & EQUIPMENTS COMPANY LIMITED,Công Ty TNHH Thiết Bị & Dịch Vụ Kỹ Thuật Cbw
NGOC LONG COMPANY,NGOC LONG COMPANY,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THỦY NGỌC LONG
-1,-1,CÔNG TY TNHH DỊCH VỤ ĐẠI THÀNH HÙNG
-1,-1,CÔNG TY TNHH DỊCH VỤ VIỄN THÔNG TIÊN DU
"MINH DUC MANUFACTURING CO., LTD","MINH DUC MANUFACTURING CO., LTD",CÔNG TY TNHH XÂY DỰNG VÀ SẢN XUẤT THƯƠNG MẠI MINH ĐỨC
"NGAN NGUYEN CO.,LTD","NGAN NGUYEN CO.,LTD",CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI NGÂN NGUYÊN
-1,-1,CÔNG TY TNHH MINH THẮNG
-1,-1,Công Ty TNHH Thương Mại Dịch Vụ Vận Tải Bảo Tín Group
-1,-1,CÔNG TY TNHH MỘT THÀNH VIÊN MẠNG LƯỚI QUÀ
CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT DƯỢC LIỆU LÂM ĐỒNG,CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT DƯỢC LIỆU LÂM ĐỒNG,CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT DƯỢC LIỆU LÂM ĐỒNG
HUY ANH ADVERTISING ONE MEMBER COMPANY LIMITED,HUY ANH ADVERTISING ONE MEMBER COMPANY LIMITED,CÔNG TY TNHH MTV QUẢNG CÁO HUY ANH
-1,-1,CÔNG TY CỔ PHẦN KỸ THUẬT VÀ THƯƠNG MẠI TAM SƠN
CÔNG TY TNHH KD TM TH BẢO TÍN,BAO TIN GENERAL TRADING AND TRADING COMPANY LIMITED,CÔNG TY TNHH KINH DOANH THƯƠNG MẠI TỔNG HỢP BẢO TÍN
-1,VRUTECH VIETNAM TECHNOLOGY JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN CÔNG NGHỆ VRUTECH VIỆT NAM
"HUNG GIA REAL ESTATE SERVICE CO., LTD","HUNG GIA REAL ESTATE SERVICE CO., LTD",CÔNG TY TNHH DỊCH VỤ BẤT ĐỘNG SẢN HƯNG GIA
CATHUNG TRADE SERVICE IMPORT - EXPORT COMPANY LIMITED,CATHUNG TRADE SERVICE IMPORT - EXPORT COMPANY LIMITED,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU CÁT HƯNG
ICITY TECHNOLOGY JSC,ICITY TECHNOLOGY JSC,CÔNG TY CỔ PHẦN KỸ THUẬT CÔNG NGHỆ ICITY
"PHUONG ANH GOAT CO.,LTD","PHUONG ANH GOAT CO.,LTD",CÔNG TY TNHH DÊ GIỐNG PHƯƠNG ANH
"LONG BIEN AUTO BUSINESS CO.,LTD","LONG BIEN AUTO BUSINESS CO.,LTD",CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI VÀ KINH DOANH Ô TÔ LONG BIÊN
-1,-1,CÔNG TY CỔ PHẦN HỮU LỢI
),),CÔNG TY TNHH CHÈ THÁI HƯNG
-1,-1,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI HỒN SẮT VIỆT
CTY TNHH MTV GẠCH THÁI ÂN,CTY TNHH MTV GẠCH THÁI ÂN,CÔNG TY TNHH MỘT THÀNH VIÊN GẠCH THÁI ÂN
"THANH AN VIET NAM CONSTRUCTION AND TRADING CO., LTD","THANH AN VIET NAM CONSTRUCTION AND TRADING CO., LTD",CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI THÀNH AN VIỆT NAM
"THANHAN XT CO.,LTD","THANHAN XT CO.,LTD",CÔNG TY TNHH XD VÀ TM THÀNH AN
ABB COMPANY LTD,Abb Asia Company Limited,Công Ty TNHH Abb Châu Á
HUU CONG INVESTMENT TRADING COMPANY LIMITED,HUU CONG INVESTMENT TRADING COMPANY LIMITED,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI HỮU CÔNG
-1,-1,CÔNG TY TNHH TRẦN LAN LS
"FAIREST CO., LTD","FAIREST CO., LTD",CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG BẰNG NHẤT
MINH PHU TRADING DEVELOPMENT AND CONSTRUCTION CONSULTING CO,MINH PHU TRADING DEVELOPMENT AND CONSTRUCTION CONSULTING CO,CÔNG TY TNHH TƯ VẤN XÂY DỰNG VÀ PHÁT TRIỂN THƯƠNG MẠI MINH PHÚ
"HA NOI EXPRESS & TECH SOLUTION CO.,LTD","HA NOI EXPRESS & TECH SOLUTION CO.,LTD",CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ VÀ CHUYỂN PHÁT NHANH HÀ NỘI
"VICA VN CO.,LTD","VICA VN CO.,LTD",CÔNG TY TNHH VICA VIỆT NAM
-1,-1,CÔNG TY TNHH PADMAC VIỆT NAM
"APTHAIHOA CO.,LTD","APTHAIHOA CO.,LTD",CÔNG TY TNHH NÔNG NGHIỆP ẤP THÁI HÒA
DUC LOC TRADING GENERAL SERVICE COMPANY LIMITED,DUC LOC TRADING GENERAL SERVICE COMPANY LIMITED,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TỔNG HỢP ĐỨC LỘC
HOA PHAT AGRICULTURE DEVELOPMENT JOINT STOCK COMPANY,HOA PHAT AGRICULTURE DEVELOPMENT JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN PHÁT TRIỂN NÔNG NGHIỆP HÒA PHÁT
